"","state","code","pop_2014","date","fips","cases","deaths"
"44881","South Carolina","SC",4832482,"2022-12-12",45,1745166,19328
"44882","South Carolina","SC",4832482,"2021-07-03",45,597261,9830
"44883","South Carolina","SC",4832482,"2020-11-13",45,192101,4101
"44884","South Carolina","SC",4832482,"2020-05-10",45,7653,331
"44885","South Carolina","SC",4832482,"2021-05-06",45,582506,9558
"44886","South Carolina","SC",4832482,"2022-11-01",45,1725160,18633
"44887","South Carolina","SC",4832482,"2021-09-25",45,841600,12080
"44888","South Carolina","SC",4832482,"2022-12-02",45,1738379,19274
"44889","South Carolina","SC",4832482,"2021-07-31",45,617148,9904
"44890","South Carolina","SC",4832482,"2021-11-16",45,909282,14042
"44891","South Carolina","SC",4832482,"2023-01-05",45,1780649,19426
"44892","South Carolina","SC",4832482,"2021-08-03",45,626038,9917
"44893","South Carolina","SC",4832482,"2020-07-30",45,87572,1667
"44894","South Carolina","SC",4832482,"2022-08-10",45,1637108,18215
"44895","South Carolina","SC",4832482,"2021-09-20",45,830260,11721
"44896","South Carolina","SC",4832482,"2022-09-18",45,1696746,18316
"44897","South Carolina","SC",4832482,"2022-11-07",45,1725160,18633
"44898","South Carolina","SC",4832482,"2021-04-14",45,564931,9304
"44899","South Carolina","SC",4832482,"2021-04-17",45,568258,9321
"44900","South Carolina","SC",4832482,"2020-08-22",45,111295,2493
"44901","South Carolina","SC",4832482,"2022-12-16",45,1751646,19346
"44902","South Carolina","SC",4832482,"2021-10-27",45,894924,13604
"44903","South Carolina","SC",4832482,"2020-08-08",45,99460,2007
"44904","South Carolina","SC",4832482,"2020-07-28",45,84109,1565
"44905","South Carolina","SC",4832482,"2020-07-31",45,89016,1712
"44906","South Carolina","SC",4832482,"2021-11-17",45,909905,14064
"44907","South Carolina","SC",4832482,"2020-12-04",45,226013,4496
"44908","South Carolina","SC",4832482,"2023-01-14",45,1791933,19538
"44909","South Carolina","SC",4832482,"2022-08-29",45,1661020,18245
"44910","South Carolina","SC",4832482,"2022-09-19",45,1696746,18316
"44911","South Carolina","SC",4832482,"2021-09-29",45,854874,12372
"44912","South Carolina","SC",4832482,"2022-06-30",45,1546406,18033
"44913","South Carolina","SC",4832482,"2021-03-01",45,517976,8562
"44914","South Carolina","SC",4832482,"2021-07-30",45,617148,9904
"44915","South Carolina","SC",4832482,"2020-12-24",45,285028,5043
"44916","South Carolina","SC",4832482,"2020-04-25",45,5253,166
"44917","South Carolina","SC",4832482,"2020-05-15",45,8407,380
"44918","South Carolina","SC",4832482,"2021-01-27",45,427231,6673
"44919","South Carolina","SC",4832482,"2021-06-24",45,596032,9805
"44920","South Carolina","SC",4832482,"2022-08-12",45,1637108,18215
"44921","South Carolina","SC",4832482,"2022-12-20",45,1760204,19368
"44922","South Carolina","SC",4832482,"2023-03-11",45,1836568,20128
"44923","South Carolina","SC",4832482,"2021-11-10",45,905182,13923
"44924","South Carolina","SC",4832482,"2021-11-05",45,902329,13841
"44925","South Carolina","SC",4832482,"2021-01-05",45,328073,5498
"44926","South Carolina","SC",4832482,"2021-04-16",45,567277,9309
"44927","South Carolina","SC",4832482,"2022-10-11",45,1715434,18468
"44928","South Carolina","SC",4832482,"2021-02-16",45,490453,8055
"44929","South Carolina","SC",4832482,"2022-08-25",45,1661020,18245
"44930","South Carolina","SC",4832482,"2021-11-26",45,915671,14186
"44931","South Carolina","SC",4832482,"2021-09-11",45,784052,11149
"44932","South Carolina","SC",4832482,"2021-08-17",45,669638,10115
"44933","South Carolina","SC",4832482,"2020-12-06",45,232099,4566
"44934","South Carolina","SC",4832482,"2022-02-02",45,1394651,15609
"44935","South Carolina","SC",4832482,"2022-07-04",45,1546406,18033
"44936","South Carolina","SC",4832482,"2020-12-09",45,239444,4612
"44937","South Carolina","SC",4832482,"2021-03-25",45,545254,9083
"44938","South Carolina","SC",4832482,"2021-10-11",45,879012,13034
"44939","South Carolina","SC",4832482,"2020-05-19",45,9056,399
"44940","South Carolina","SC",4832482,"2020-06-13",45,17955,599
"44941","South Carolina","SC",4832482,"2021-07-04",45,597261,9830
"44942","South Carolina","SC",4832482,"2021-09-12",45,784052,11149
"44943","South Carolina","SC",4832482,"2022-01-21",45,1265710,15108
